title,summary,prep_time,cook_time,servings,ingredients,instructions,calories,carbohydrates,protein,fat,saturated_fat,polyunsaturated_fat,monounsaturated_fat,trans_fat,cholesterol,sodium,potassium,fiber,sugar,vitamin_a,vitamin_c,calcium,iron,image_url,Vegetarian,Low-Purine,Low-fat/Heart-Healthy,Low-Sodium,Lactose-free,Peanut Allergy,Shellfish Allergy,Fish Allergy,Halal or Kosher
Pinoy Breakfast Omelet and Bacon Garlic Fried Rice,Filipino breakfast omelet recipe and garlic fried rice (sinangag na kanin) with bacon,10 minutes,30 minutes,4,5 eggs|1 teaspoons Knorr Liquid Seasoning|1 tomato sliced|1 onion sliced| cup cheddar cheese grated| cup green onions chopped|2 tablespoons butter|3 tablespoons cooking oil|4 cups cooked rice|8 strips bacon cut into small pieces|5 cloves garlic|2 teaspoons Knorr Liquid Seasoning| cup green onions chopped|Salt and ground black pepper to taste,"Make the fried rice by searing the bacon until the fat gets extracted and the bacon becomes crispy. Note: You will only need around 3 tablespoons of bacon fat. Remove the excess fat for later use.|Once the bacon gets crispy, add the minced garlic. Cook until it starts to brown.|Put the rice into the pan (using leftover rice is ideal for this recipe). Stir-fry for 3 minutes.|Add Knorr Liquid Seasoning, salt, and ground black pepper, and green onions. Toss and cook for 2 minutes. Transfer to a serving plate. Set aside.|Make the breakfast omelet by heating 3 tablespoons of cooking oil in a pan. Saute the onion until tender. Remove and set aside.|Using the same pan with remaining oil, arrange the sliced tomatoes in a way that it covers the pan.|Add the butter. Let it melt. Cook the tomato for 1 minute.|Add green onions and put the sauteed onion back into the pan while distributing it evenly.|Beat the eggs and add Knorr Liquid Seasoning. Pour the mixture over the onions. Top with grated cheese.|Cover the pan. Adjust the heat to the lowest setting. Continue cooking until the eggs get stiff and the cheese is completely melted. Transfer to a serving plate. Serve with fried rice for breakfast.|Share and enjoy!",2798,210,87,177,59,30,76,1,1051,3232,1687,8,11,4295,44,724,8,https://panlasangpinoy.com/wp-content/uploads/2023/07/Pinoy-Breakfast-Omelet-and-Bacon-Garlic-Fried-Rice-152x152.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Breakfast Burrito,Filipino breakfast burrito with tocino and all the fixins,10 minutes,10 minutes,4,225 g CDO Funtastyk Young Pork Tocino|2 cups cooked rice|3 eggs|1 cup cheddar cheese shredded|4 flour tortillas|1 cups romaine lettuce shredded|3 tomatoes diced|2 tablespoons fresh milk|2 tablespoons butter|1 teaspoon white vinegar,"Cook the tocino by heating 3 tablespoons of cooking oil in a pan. Adjust your stove between low to medium heat setting. Fry both sides of our CDO Funtastyk Young Pork Tocino until it browns (note: no need to boil). Remove the tocino from the pan. Slice it into serving pieces. Set aside|Make the scrambled eggs by combining eggs and fresh milk. Beat until the mixture smoothens. Heat a pan and melt the butter. Once the butter gets hot enough, pour the egg mixture and stir constantly while cooking. Once the texture becomes less runny, add 2 tablespoons of shredded cheddar cheese, and then stir. Transfer to a clean plate. Set aside.|Prepare the rice by pouring vinegar over it. Mix well and set aside.|Assemble the burrito. Start by spreading the rice over the tortilla. Top with lettuce, tomato, cheese, egg, and CDO Funtastyk Young Pork Tocino. Secure the contents by wrapping the flour tortilla. Arrange on a serving platter. Serve for breakfast. Share and enjoy!",531,48,28,25,12,2,7,0,201,544,605,3,4,2952,13,306,3,https://panlasangpinoy.com/wp-content/uploads/2023/01/burrito-wrap-jpg-webp-152x152.webp,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
One Pan Sandwich,"Whether you want something light or easy to take on the go, there’s no better and simpler solution than the humble one pan sandwich.",5 minutes,10 minutes,1,5 strips CDO Young Pork Bacon|2 eggs|2 bread slices|2 tablespoons mayonnaise|2 tablespoons butter|3 tablespoons cooking oil,"Heat around 1 tablespoon of cooking oil in a pan. Cook one side of the CDO young Pork Bacon until it becomes crispy (Note: use low to medium heat setting). Turn the bacon over and do the same to the opposite side. Remove the bacon and chop into smaller pieces. Set aside.|Beat the eggs until smooth. Note: you may add salt if you want.|Heat 2 tablespoons of cooking oil in a pan. Pour the beaten egg. Cook until firm. Turn it over and continue cooking the other side.|Meanwhile, spread mayonnaise on one side of each bread slice. Put both bread slices side-by-side on top of the egg with the mayonnaise side facing down.|Spread butter over each bread slice.|Using a wide spatula, flip the egg and bread so that the side of the bread with butter touches the pan.|Arrange CDO Young Pork Bacon on top of the egg (do this only on one side). Continue cooking until the side of the bread that touches the pan turns golden brown in color.|Secure sandwich by folding the bread wherein one bread slice is on top and the other is on the bottom.|Remove the sandwich from the pan. Serve for breakfast. Share and enjoy!",1048,27,19,97,24,28,41,1,399,848,213,2,4,1194,0,128,4,https://panlasangpinoy.com/wp-content/uploads/2023/01/one-pan-sandwich-recipe-jpg-webp-152x152.webp,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Bacon Stuffed Pancake,"A strong contender for everyone’s favorite part of the most important meal of the day, pancakes are a breakfast staple.",10 minutes,15 minutes,4,5 strips CDO Young Pork Bacon|1 cup pancake mix|1 egg|3/4 water|1 tablespoon canola oil,Heat around 1 tablespoon of cooking oil in a pan. Cook one side of the CDO young Pork Bacon until it becomes crispy (Note: use low to medium heat setting). Turn the bacon over and do the same to the opposite side. Remove the bacon and chop into smaller pieces. Set aside.|Combine all the pancake batter ingredients in a mixing bowl. Mix well usinng a wire whisk.|Heat a clean non-stick pan and spread around 1 tablespoon of canolaoil.|Scoop around 6 tablespoons of pancake batter and pour it into the pan. Top with some bacon sliced.|Flip the pancake once you see bubbling on top. Continue cooking for 30 seconds to 1 minute. You will know that you are done when the pancake slides freely when you shake the pan. Transfer to a serving plate. Do the same step until the entire pancake batter is consumed.|Serve with extra CDO Young Pork Bacon on the side. Enjoy with your favorite drink for breakfast.,119,9,4,7,1,2,3,0,64,205,80,1,0,141,0,76,1,https://panlasangpinoy.com/wp-content/uploads/2023/01/bacon-pancake-jpg-webp-152x152.webp,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Tapa and Egg Fried Rice,Tapa made from horse meat and easy egg fried rice with pickled papaya on the side. This dish is perfect for breakfast or lunch.,60 minutes,35 minutes,4,1 lb. horse meat sliced into thin pieces.|1 head garlic crushed| cup soy sauce| teaspoon ground black pepper|1 teaspoon salt|2 teaspoons sugar| cups water|1 cups lemon lime soda|4 tablespoons cooking oil|4 cups leftover rice|3 eggs beaten|1 onion minced| cup green onion chopped|1 red bell pepper minced|3 tablespoons soy sauce|2 teaspoons sesame oil|1 teaspoon salt optional,"Start making the tapa by combining garlic, soy sauce, salt, and ground black pepper in a bowl. Stir. Add the meat and mix well. Cover the bowl and refrigerate for at least 3 hours.|Slice the meat into thinner and smaller pieces as needed. Arrange it in a pan and pour-in water and cooking oil. Let boil.|Add the lemon lime soda. Continue cooking uncovered until the liquid completely evaporates.|Fry the tapa in remaining oil for 2 minutes. Remove from the pan and set aside.|Make the egg fried rice by frying the eggs in the remaining oil.|Once completely cooked, cut the eggs into smaller pieces using your spatula.|Add onion, half of the green onions, and bell pepper. Cook for 2 minutes while continuously stirring.|Put the leftover rice into the pan and then toss until all the ingredients are well distributed.|Add soy sauce and sesame oil. Continue to stir fry for 3 to 5 minutes. Note: You may add salt if needed.|Top with remaining green onions. Transfer to a serving plate and serve with the fried tapa. Share and enjoy!",798,66,34,44,12,6,21,1,203,4255,733,4,16,2674,45,97,5,https://panlasangpinoy.com/wp-content/uploads/2022/07/tapa-and-egg-fried-rice-recipe_-152x152.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Arroz Caldo Recipe,Chicken congee with boiled eggs. This arroz caldo recipe is a winner.,10 minutes,45 minutes,6,"1 lbs chicken cut into serving pieces|1 cups rice uncooked|34 ounces water about 1 liter|2 Tablespoons fish sauce|1 teaspoon garlic|1/4 teaspoon ground black pepper|1 cup onion minced|4 eggs hard boiled|1 cup scallions green onions, minced|2 knobs ginger julienned|3 tbsp safflower kasubha|1 chicken cube bouillon|1 lemon or 4 pieces calamansi|2 Tablespoon cooking oil","In a pot, heat the cooking oil then saute the garlic, onion, and ginger|Dash-in some ground black pepper|Add the chicken cube and cook until the cube melts|Put-in the chicken and cook until outer layer color turns golden brown|Add the fish sauce and uncooked rice then mix and cook for a few minutes|Pour-in the water and bring to a boil|Stir occasionally and simmer until the rice is fully cooked (about 30 to 40 minutes)|Put-in the hard boiled eggs|Add the safflower for additional color and aroma|Serve hot with garlic, minced scallions, and lemon. Share and Enjoy!",584,43,29,32,7,7,17,1,194,766,442,2,2,489,17,75,2,https://panlasangpinoy.com/wp-content/uploads/2019/03/Arroz-Caldo-Recipe-152x152.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Corned Beef Omelet,A power breakfast food. It is a complete meal which gives enough energy that lasts until lunchtime.,5 minutes,10 minutes,4,12 ounces corned beef|3 pieces eggs|1 piece onion|4 cloves garlic|3/4 cup green onion chopped|3 tablespoons Cooking oil|Salt and ground black pepper to taste,Prepare the corned beef by sautÃ©ing. Heat oil in a pan and then saute garlic and onion. Add corned beef. Continue to saute for 3 to 5 minutes. Remove from the pan and let it cool down.|Crack the eggs and place in a large mixing bowl. Add the salt and pepper.. Beat until all the ingredients are well incorporated.|Add sautÃ©ed Corned beef and green onions. Stir to mix the ingredients. Note: Make sure that the corned beef has cooled down before you execute this step.|Heat a frying pan. Add 1 tablespoon cooking oil or use a cooking oil spray and spray oil on the pan.|Scoop around Â½ to Â¾ cups of the corned beef and egg mixture and pour in the pan. Cook for 3 minutes on medium heat.|Use a spatula to flip the omelet and cook the other side for 2 to 3 minutes.|Transfer to a serving plate. Serve.|Share and enjoy!,284,5,13,23,5,0,0,0,49,1041,357,1,2,187,29,31,2,https://panlasangpinoy.com/wp-content/uploads/2014/12/tortang-corned-beef-omelet-152x152.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Chicken Adobo Fried Rice and Tortang Corned Beef,Quick and Easy Filipino breakfast meal from leftovers.,5 minutes,15 minutes,3,1 cup chicken adobo shredded and chopped|4 cups leftover rice|1/2 teaspoon salt|4 cloves garlic crushed|3 tablespoons cooking oil|1 1/2 cups corned beef sauteed|1 piece egg|1/8 teaspoon ground black pepper|4 tablespoons cooking oil,"Prepare the omelette by combining corned beef, egg, and ground black pepper in a bowl. Mix well.|Heat 4 tablespoons of cooking oil in a pan. Scoop a quarter portion of the corned beef mixture and fry. Gently flatten the mixture in the pan and continue to fry in medium heat for 1 to 2 minutes. Flip the corned beef omelette and fry the opposite side until done. Remove from the pan and place in a clean plate. Perform the same steps until the mixture is completely consumed.|Prepare the rice by combining rice and salt. Gently mix while trying to separate the rice with each other.|Heat 3 tablespoons oil in a pan. Add crushed garlic. Continue to cook in medium heat until garlic turns light brown in color.|Add chopped chicken adobo. Stir-fry for 1 minute.|Add rice. Toss and stir-fry for 3 to 5 minutes.|Transfer the chicken adobo fried rice in a plate and then top with tortang corned beef. Serve with your favorite condiment.|Share and enjoy!",721,62,17,45,6,0,0,0,85,1870,391,3,3,2079,18,46,2,https://panlasangpinoy.com/wp-content/uploads/2019/08/Chicken-Adobo-Fried-Rice-and-Tortang-Corned-Beef-Recipe-152x152.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Filipino Omelet,Beaten eggs seasoned with salt and pepper and cooked with onions and tomato. This is a delicious breakfast dish best paired with pandesal.,5 minutes,8 minutes,3,3 pieces large eggs|2 piece tomatoes diced|1 piece red onion diced|1/4 teaspoon ground black pepper|1/4 teaspoon sea salt|2 tablespoons cooking oil,"Crack the eggs and then place in a medium bowl. Add the salt and pepper and then beat using a wire whisk or fork. Set aside.|Heat the cooking oil in a pan.|Saute the onion and tomatoes for 2 minutes.|Pour-in the beaten egg mixture. Spread the mixture by tilting the pan sideways. Continue to cook in medium heat for 3 to 4 minutes.|Flip the omelet with the aid of a wide spatula and then cook the other side for 3 minutes. Note: If you are having a hard time flipping the omelet, try to first place the egg on a wide plate (the cooked side should be facing down). Quickly flip the plate on top of the pan so that the omelet will slide to the pan with the uncooked side facing down.|Turn off the heat and then transfer the omelet to a serving plate. Enjoy with pandesal or garlic rice. Serve with banana ketchup.|Share and enjoy!",113,6,1,9,0,0,0,0,3,200,247,1,3,685,13,17,0,https://panlasangpinoy.com/wp-content/uploads/2019/02/Filipino-Omelet-Recipe-152x152.jpg,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Dulong Fishcake,This is a Fishcake recipe using dulong.,5 minutes,12 minutes,4,"1 lb dulong silver fish, cleaned|3/4 cup breadcrumbs|1 piece raw egg beaten|1 tablespoon mayonnaise|3 teaspoons lemon juice|1 teaspoon minced garlic|1/2 teaspoon Dijon mustard|1 teaspoon salt|1/2 teaspoon ground black pepper|2 tablespoons extra vigin olive oil|2 tablespoons butter","Combine fish, 1/ 2 cup bread crumbs, egg, salt, pepper, mustard, garlic, mayonnaise, and lemon juice. Mix well.|Scoop the mixture and shape into individual patties. Dredge in remaining 1/4 cup breadcrumbs. Set Aside.|Melt butter in a pan. Pour-in olive oil.|Pan-fry the fish patties in medium heat for about 5 to 6 minutes per side.|Remove from the pan. Arrange in a serving plate.|Serve with chips or salad and top with ranch dressing. Share and enjoy!",1373,61,108,77,24,0,0,0,456,3535,1589,3,5,935,7,218,7,https://panlasangpinoy.com/wp-content/uploads/2012/03/Dulong-Fish-Cake-152x152.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
