title,summary,prep_time,cook_time,servings,ingredients,instructions,calories,carbohydrates,protein,fat,saturated_fat,polyunsaturated_fat,monounsaturated_fat,trans_fat,cholesterol,sodium,potassium,fiber,sugar,vitamin_a,vitamin_c,calcium,iron,image_url,Vegetarian,Low-Purine,Low-fat/Heart-Healthy,Low-Sodium,Lactose-free,Peanut Allergy,Shellfish Allergy,Fish Allergy,Halal or Kosher
Pinoy Breakfast Omelet and Bacon Garlic Fried Rice,Filipino breakfast omelet recipe and garlic fried rice (sinangag na kanin) with bacon,10 minutes,30 minutes,4,5 eggs|1 teaspoons Knorr Liquid Seasoning|1 tomato sliced|1 onion sliced| cup cheddar cheese grated| cup green onions chopped|2 tablespoons butter|3 tablespoons cooking oil|4 cups cooked rice|8 strips bacon cut into small pieces|5 cloves garlic|2 teaspoons Knorr Liquid Seasoning| cup green onions chopped|Salt and ground black pepper to taste,"Make the fried rice by searing the bacon until the fat gets extracted and the bacon becomes crispy. Note: You will only need around 3 tablespoons of bacon fat. Remove the excess fat for later use.|Once the bacon gets crispy, add the minced garlic. Cook until it starts to brown.|Put the rice into the pan (using leftover rice is ideal for this recipe). Stir-fry for 3 minutes.|Add Knorr Liquid Seasoning, salt, and ground black pepper, and green onions. Toss and cook for 2 minutes. Transfer to a serving plate. Set aside.|Make the breakfast omelet by heating 3 tablespoons of cooking oil in a pan. Saute the onion until tender. Remove and set aside.|Using the same pan with remaining oil, arrange the sliced tomatoes in a way that it covers the pan.|Add the butter. Let it melt. Cook the tomato for 1 minute.|Add green onions and put the sauteed onion back into the pan while distributing it evenly.|Beat the eggs and add Knorr Liquid Seasoning. Pour the mixture over the onions. Top with grated cheese.|Cover the pan. Adjust the heat to the lowest setting. Continue cooking until the eggs get stiff and the cheese is completely melted. Transfer to a serving plate. Serve with fried rice for breakfast.|Share and enjoy!",2798,210,87,177,59,30,76,1,1051,3232,1687,8,11,4295,44,724,8,https://panlasangpinoy.com/wp-content/uploads/2023/07/Pinoy-Breakfast-Omelet-and-Bacon-Garlic-Fried-Rice-152x152.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Arroz Caldo Recipe,Chicken congee with boiled eggs. This arroz caldo recipe is a winner.,10 minutes,45 minutes,6,"1 lbs chicken cut into serving pieces|1 cups rice uncooked|34 ounces water about 1 liter|2 Tablespoons fish sauce|1 teaspoon garlic|1/4 teaspoon ground black pepper|1 cup onion minced|4 eggs hard boiled|1 cup scallions green onions, minced|2 knobs ginger julienned|3 tbsp safflower kasubha|1 chicken cube bouillon|1 lemon or 4 pieces calamansi|2 Tablespoon cooking oil","In a pot, heat the cooking oil then saute the garlic, onion, and ginger|Dash-in some ground black pepper|Add the chicken cube and cook until the cube melts|Put-in the chicken and cook until outer layer color turns golden brown|Add the fish sauce and uncooked rice then mix and cook for a few minutes|Pour-in the water and bring to a boil|Stir occasionally and simmer until the rice is fully cooked (about 30 to 40 minutes)|Put-in the hard boiled eggs|Add the safflower for additional color and aroma|Serve hot with garlic, minced scallions, and lemon. Share and Enjoy!",584,43,29,32,7,7,17,1,194,766,442,2,2,489,17,75,2,https://panlasangpinoy.com/wp-content/uploads/2019/03/Arroz-Caldo-Recipe-152x152.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Corned Beef Omelet,A power breakfast food. It is a complete meal which gives enough energy that lasts until lunchtime.,5 minutes,10 minutes,4,12 ounces corned beef|3 pieces eggs|1 piece onion|4 cloves garlic|3/4 cup green onion chopped|3 tablespoons Cooking oil|Salt and ground black pepper to taste,Prepare the corned beef by sautÃ©ing. Heat oil in a pan and then saute garlic and onion. Add corned beef. Continue to saute for 3 to 5 minutes. Remove from the pan and let it cool down.|Crack the eggs and place in a large mixing bowl. Add the salt and pepper.. Beat until all the ingredients are well incorporated.|Add sautÃ©ed Corned beef and green onions. Stir to mix the ingredients. Note: Make sure that the corned beef has cooled down before you execute this step.|Heat a frying pan. Add 1 tablespoon cooking oil or use a cooking oil spray and spray oil on the pan.|Scoop around Â½ to Â¾ cups of the corned beef and egg mixture and pour in the pan. Cook for 3 minutes on medium heat.|Use a spatula to flip the omelet and cook the other side for 2 to 3 minutes.|Transfer to a serving plate. Serve.|Share and enjoy!,284,5,13,23,5,0,0,0,49,1041,357,1,2,187,29,31,2,https://panlasangpinoy.com/wp-content/uploads/2014/12/tortang-corned-beef-omelet-152x152.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Chicken Adobo Fried Rice and Tortang Corned Beef,Quick and Easy Filipino breakfast meal from leftovers.,5 minutes,15 minutes,3,1 cup chicken adobo shredded and chopped|4 cups leftover rice|1/2 teaspoon salt|4 cloves garlic crushed|3 tablespoons cooking oil|1 1/2 cups corned beef sauteed|1 piece egg|1/8 teaspoon ground black pepper|4 tablespoons cooking oil,"Prepare the omelette by combining corned beef, egg, and ground black pepper in a bowl. Mix well.|Heat 4 tablespoons of cooking oil in a pan. Scoop a quarter portion of the corned beef mixture and fry. Gently flatten the mixture in the pan and continue to fry in medium heat for 1 to 2 minutes. Flip the corned beef omelette and fry the opposite side until done. Remove from the pan and place in a clean plate. Perform the same steps until the mixture is completely consumed.|Prepare the rice by combining rice and salt. Gently mix while trying to separate the rice with each other.|Heat 3 tablespoons oil in a pan. Add crushed garlic. Continue to cook in medium heat until garlic turns light brown in color.|Add chopped chicken adobo. Stir-fry for 1 minute.|Add rice. Toss and stir-fry for 3 to 5 minutes.|Transfer the chicken adobo fried rice in a plate and then top with tortang corned beef. Serve with your favorite condiment.|Share and enjoy!",721,62,17,45,6,0,0,0,85,1870,391,3,3,2079,18,46,2,https://panlasangpinoy.com/wp-content/uploads/2019/08/Chicken-Adobo-Fried-Rice-and-Tortang-Corned-Beef-Recipe-152x152.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Filipino Omelet,Beaten eggs seasoned with salt and pepper and cooked with onions and tomato. This is a delicious breakfast dish best paired with pandesal.,5 minutes,8 minutes,3,3 pieces large eggs|2 piece tomatoes diced|1 piece red onion diced|1/4 teaspoon ground black pepper|1/4 teaspoon sea salt|2 tablespoons cooking oil,"Crack the eggs and then place in a medium bowl. Add the salt and pepper and then beat using a wire whisk or fork. Set aside.|Heat the cooking oil in a pan.|Saute the onion and tomatoes for 2 minutes.|Pour-in the beaten egg mixture. Spread the mixture by tilting the pan sideways. Continue to cook in medium heat for 3 to 4 minutes.|Flip the omelet with the aid of a wide spatula and then cook the other side for 3 minutes. Note: If you are having a hard time flipping the omelet, try to first place the egg on a wide plate (the cooked side should be facing down). Quickly flip the plate on top of the pan so that the omelet will slide to the pan with the uncooked side facing down.|Turn off the heat and then transfer the omelet to a serving plate. Enjoy with pandesal or garlic rice. Serve with banana ketchup.|Share and enjoy!",113,6,1,9,0,0,0,0,3,200,247,1,3,685,13,17,0,https://panlasangpinoy.com/wp-content/uploads/2019/02/Filipino-Omelet-Recipe-152x152.jpg,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortilla Espanola,"It’s really quite hard not to love a good omelette. The delicious, buttery, and creamy egg, paired alongside a filling of your choice, makes for a dish truly memorable.",5 minutes,10 minutes,4,5 pieces potato peeled and sliced; 1 piece yellow onion diced; 6 pieces eggs; 2 cups olive oil; 1 1/2 teaspoon salt,"Mix potatoes and onion in a large bowl. | Add 1 tablespoon salt then mix thoroughly until well distributed. Set aside. | Heat a cooking pot and pour-in olive oil. | When the oil is hot enough, fry the potatoes and onion using medium heat. This should take between 7 to 10 minutes. Do not brown the potatoes. | Remove the potatoes from the cooking pot, turn off heat, and then drain excess oil. Let the fried potatoes cool for a few minutes. | Combine the remaining salt with the eggs then beat. | Add the cooked potato in the beaten egg mixture then stir to distribute. | Heat an 8 to 10 inches non-stick pan and pour-in about 2 to 3 tablespoons of olive oil. You may utilize the olive oil used to fry the potatoes. | When the oil is hot enough, pour-in the eggs and potato mixture. Cook for about 5 to 7 minutes in low to medium heat. Cooking time may vary, it is recommended to manually check the omelet to prevent burns. | Flip the omelet by placing a wide plate on top of the pan and turn the pan over in a way that the plate catches the omelet. | Place the pan back on the stove and gently push the omelet from the plate to the pan. Cook until the other side is done.",968,3,1,108,15,11,79,0,6,877,43,1,1,9,2,9,1,https://panlasangpinoy.com/wp-content/uploads/2010/08/Tortilla-Espanola-1-jpg-152x152.webp,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Longsilog Recipe,Filipino sweet sausage with garlic fried rice and fried egg. This complete meal is perfect for breakfast.,5 minutes,30 minutes,4,1/2 lb. skinless longanisa; 2 pieces eggs; 4 cups rice leftover; 5 cloves garlic crushed; 1/2 cup water; 4 tablespoons cooking oil; Salt and ground black pepper to taste,"Heat 2 tablespoons of oil in a pan. Once the oil gets hot, fry the eggs. Remove from the pan. Set aside. | Add remaining oil in the pan. Fry the longanisa until the outer part turns light brown (around 1 1/2 minutes). | Pour-in water. Let boil. Continue boiling until the water evaporates. Fry the longanisa in remaining oil until fully cooked. Remove from the pan and set aside. | Using the remaining oil, cook garlic until it starts to turn light brown. | Add rice. Stir-fry for 3 minutes. Season with salt and ground black pepper. | Assemble the fried eggs, longanisa, and sinangag on a plate. Serve with spicy vinegar as a dipping sauce for the longanisa. | Share and enjoy!",978,149,22,30,6,6,16,1,43,373,369,2,1,46,2,65,2,https://panlasangpinoy.com/wp-content/uploads/2021/06/longsilog-jpg-152x152.webp,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Skinless Longganisa,This is a basic recipe for Filipino sweet and garlicky skinless longganisa.,15 minutes,10 minutes,1,1 lbs. ground pork; 9 tablespoons dark brown sugar; 1 tablespoon smoked paprika; 3 tablespoons vegetable oil; 1 tablespoons coarse salt; 1 teaspoon ground black pepper; 2 head garlic,"Peel the skin off the garlic cloves. Crush thoroughly using mortar and pestle. Mince the crushed garlic. Set aside. | In a large mixing bowl, combine ground pork along with all of the ingredients. Mix well. | Cover the bowl. Refrigerate for 2 hours. | Shape the longganisa by laying a sheet of wax paper on a flat surface. Scoop around 3 tablespoons of mixture and put over the wax paper. Fold the wax paper from top to down until the mixture covered. Hold the edge of the paper with your fingers and then slide the card towards the mixture. Push a bit more until a sausage shape is formed. Do this step until the entire mixture is consumed. | Cook the longganisa by combining 1 cup water and 4 tablespoons of cooking oil in a pan. | Add the longganisa and then turn the heat on. Let the liquid boil, and then adjust to the lowest heat setting. Continue boiling until the water completely evaporates. | Fry both sides of the longganisa in the remaining oil until it turns brown. | Remove from the pan and arrange on a serving plate. Serve with rice. Share and enjoy!",114,4,5,8,3,0,0,0,21,354,107,0,4,135,0,12,0,https://panlasangpinoy.com/wp-content/uploads/2018/10/Skiness-Longganisa-Recipe-152x152.jpg,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Ground Beef Omelet,"Ground beef omelet is an omelet with a hearty beef twist. Enjoy it with warm, fluffy steamed rice and a splash of banana ketchup.",5 minutes,15 minutes,3,4 eggs; 1/2 lb. ground beef; 1 yellow onion chopped; 1 green bell pepper chopped; 2 tablespoons Worcestershire sauce; 6 tablespoons cooking oil; salt and pepper to taste,"Prepare the ground beef filing by heating 3 tablespoons of cooking oil in a pan. | Add the onion. Cook until soft. | Add the chopped bell pepper and ground beef. Brown the beef (cook around 3 to 5 minutes). | Sprinkle some salt and pepper (adjust the amount to your preference) and pour-in the Worcestershire sauce. Stir and cook for 4 to 5 minutes. Remove from the pan and set aside. | Start to make the omelet by cracking the eggs in a bowl. Sprinkle a bit of salt. Whisk the eggs until the texture is smooth. | Heat the remaining oil in a pan. | Once the oil starts to heat-up, slowly pour 1/3 of the beaten egg on the pan. Let it cook in low to medium heat until the egg starts to form. | Turn the egg over using a spatula. Scoop 1/3 of the cooked ground beef over one side of the egg. When the other side of the egg forms and starts to solidify, fold the other half to cover the side with ground meat. | Remove the omelet from the pan and transfer to a serving plate. Perform the same steps until all the ingredients are consumed. | Serve with rice or bread. Share and enjoy!",555,8,21,49,10,9,26,1,272,284,499,1,4,473,36,71,3,https://panlasangpinoy.com/wp-content/uploads/2016/03/Giniling-na-baka-omelet-152x152.jpg,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
