title,summary,prep_time,cook_time,servings,ingredients,instructions,calories,carbohydrates,protein,fat,saturated_fat,polyunsaturated_fat,monounsaturated_fat,trans_fat,cholesterol,sodium,potassium,fiber,sugar,vitamin_a,vitamin_c,calcium,iron,image_url,Vegetarian,Low-Purine,Low-fat/Heart-Healthy,Low-Sodium,Lactose-free,Peanut Allergy,Shellfish Allergy,Fish Allergy,Halal or Kosher
Batchoy Tagalog,Filipino noodle soup composed of pork tenderloin and innards.,10 minutes,45 minutes,4,"1 lb. pork loin| lb. pork spleen ""pali"" ng baboy| lb. pork liver| lb. pork blood coagulated|2 ounces misua|3 ounces hot pepper leaves|1  onion sliced into thin pieces|5 cloves garlic crushed and peeled|3  thumbs ginger julienned|4 grams Maggi Magic Sarap|6 cups water|3 tablespoons cooking oil|fish sauce and ground black pepper to taste","Heat 3 tablespoons cooking oil in a cooking pot. Add 5 cloves garlic and sauté until it starts to brown. Next, add 1 onion (sliced)  and 3 thumbs ginger (julienned), continuing to sauté until the onion softens.|Add 1 lb. pork loin, stirring until the outer part turns light brown, which should take around 2 minutes. Pour in 1 tablespoon of fish sauce and stir well.|Then, pour in 6 cups water and cover the pot. Allow it to boil, then adjust the heat to a simmer. Continue simmering for 30 minutes or until the pork tenderizes completely.|Next, adjust the heat setting to medium and add ½ lb. pork liver and ½ lb. pork spleen. Stir well, cover the pot, and boil for 5 minutes.|Reduce the heat to the lowest setting and gently add ½ lb. pork blood, stirring gently. Continue cooking for 10 minutes.|Now, add 2 ounces misua, stirring and cooking for 1 minute until they soften. Sprinkle in 4 grams Maggi Magic Sarap and season with fish sauce and ground black pepper to taste.|Finally, add 3 ounces hot pepper leaves. Cover the pot, then turn off the heat and let it rest for 2 minutes.|Transfer to a serving bowl and serve hot with rice. Share and enjoy!",1986,109,206,78,14,18,36,0,1651,770,4133,10,27,106692,273,351,113,https://panlasangpinoy.com/wp-content/uploads/2024/09/Batchoy-tagalog-152x152.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Pork Hamonado Recipe,This is a recipe for Pork Hamonado,,45 minutes,5,2 lbs pork butt about 1 kilo|2 cups pineapple juice|2 cups pineapple chunks|3 tbsp soy sauce|5 tbsp brown sugar|3 tbsp. cooking oil|1 cup beef broth,"Mix the pineapple juice, sugar, and soy sauce in a large bowl|Marinate pork with the pineapple juice, sugar, and soy sauce mixture for about 1 to 3 hours|Remove the pork from the marinade and set the remaining mixture aside|Heat the oil in a pan and fry the marinated pork until the meat turns light brown (approximately 3 to 5 minutes)|Pour in the remaining marinade mixture together with the pineapple chunks and beef broth and simmer for 45 to 60 minutes|Add salt and pepper to taste|Serve Hot. Enjoy!",480,39,37,20,4,4,10,0,109,906,920,2,35,52,18,68,3,https://panlasangpinoy.com/wp-content/uploads/2009/02/Pork-Hamonado-Recipe-Panlasang-Pinoy-152x152.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Tofu and Broccoli Stir fry,,5 minutes,18 minutes,4,8 oz. extra firm tofu sliced in 1/2 inch thick pieces|3 cups sliced broccoli florets|1  carrot sliced diagonally (optional)|1  medium onion sliced|1 teaspoon minced garlic|1 teaspoon minced ginger|2 tablespoons oyster sauce|6 tablespoons cooking oil|Salt and pepper to taste,"Heat a pan and then pour-in 4 tablespoons of cooking oil.|When the oil becomes hot, fry both sides of the sliced tofu until the texture becomes crisp (about 8 to 10 minutes per side)|Remove the tofu from the pan and let cool. Slice into smaller rectangular pieces. Set aside.|On a clean frying pan, heat the remaining oil.|Sauté the garlic, ginger, and onion|Add the fried tofu slices along with the oyster sauce. Stir.|Put-in the broccoli florets. Stir and then cook for 5 to 8 minutes.|Add salt and pepper to taste.|Transfer to serving plate.|Serve with rice. Share and enjoy!",263,11,7,22,2,7,14,0,0,315,395,3,4,2959,62,64,1,https://panlasangpinoy.com/wp-content/uploads/2023/10/tofu-and-broccoli-stir-fry-152x152.jpg,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Crispy Katsu Sando,Easy Japanese sandwich with crispy burger,5 minutes,12 minutes,4,6  CDO Crispy burger patties|3 slices tasty bread cut in half|1 cup cabbage shredded|1/4 cup katsu sauce|3 tablespoons butter|2 tablespoons cooking oil|3 tablespoons mayonnaise,Heat the cooking oil in a pan. Fry both sides of the CDO Crispy burger patties using medium heat until crispy. Set aside|Grab 2 slices of bread. Spread butter on one side of the first slice of bread and mayonnaise on one side of the second bread slice.|Lay down the bread slice with butter on a flat surface (butter side up). Top with shredded cabbage and tonkatsu sauce.|Arrange 2 CDO Crispy Burgers over it and then top with more shredded cabbage and tonkatsu sauce. Finish by topping with the other bread slice (mayo side facing down).|Arrange Crispy Burger Sando on a serving plate. Serve. Share and enjoy!,292,16,3,24,7,7,9,0,27,508,64,1,5,288,6,37,1,https://panlasangpinoy.com/wp-content/uploads/2023/01/Japanese-katsu-sando-jpg-webp-152x152.webp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Igado Recipe,"Stewed pork, liver, and kidney with green peas and bell pepper. This popular Filipino recipe is a must try.",10 minutes,45 minutes,4,1/2 lbs. pork tenderloin sliced into 2-inch strips|1/2 lb. pork liver sliced into 2-inch strips|1/2 lb. pork kidney|1  Knorr Pork Cube|1  red bell pepper cut into strips|1/2 cup green peas|1  carrot julienne|3  laurel leaves|1  onion minced|5 cloves garlic minced|6 tablespoons soy sauce|5 tablespoons white vinegar|1 1/4 cup water|4 tablespoons cooking oil|Salt and pepper to taste,"Boil the kidney with 4 thumbs of ginger for at least 30 minutes. Let it cool down and slice into 2-inch strips. Set aside.|Heat 2 tablespoons of cooking oil in a pan. Sauté the pork liver for 2 minutes. Remove from the pan and set aside.|Pour the remaining oil in the pan. Once hot, sauté garlic and onion until the latter softens.|Add the pork kidney. Cook for 1 minute.|Add the pork tenderloin. Sauté until the outer layer turns light brown.|Pour the soy sauce and vinegar into the pan. Let the liquid boil. Stir.|Add the laurel leaves and pour water. Let boil. Reduce the heat between low to medium setting. Continue cooking for 40 minutes.|Add Knorr Pork Cube. Cook for 8 minutes.|Add the liver back into the pan. Stir and continue cooking for 3 minutes.|Put the bell pepper, carrot, and green peas.|Season with salt and ground black pepper. Cook for 2 minutes.Transfer to a serving bowl. Serve hot with rice.|Share and enjoy!",392,13,38,20,3,5,11,0,389,1913,780,3,5,16012,71,50,18,https://panlasangpinoy.com/wp-content/uploads/2022/10/pork-igado-recipe-jpg-152x152.webp,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Pork Adobo Recipe,"Basic Filipino Prok Adobo with Soy Sauce, Vinegar, and Garlic. This delicious dish is perfect when served over newly cooked white rice.",10 minutes,,4,2 lbs pork belly (note 1)|2 tablespoons garlic (note 2)|5  dried bay leaves (note 3)|4 tablespoons vinegar (note 4)|1/2 cup soy sauce (note 5)|1 tablespoon peppercorn (note 6)|2 cups water|Salt to taste,"Combine the pork belly, soy sauce, and garlic then marinade for at least 1 hour|Heat the pot and put-in the marinated pork belly then cook for a few minutes|Pour remaining marinade including garlic.|Add water, whole pepper corn, and dried bay leaves then bring to a boil. Simmer for 40 minutes to 1 hour|Put-in the vinegar and simmer for 12 to 15 minutes|Add salt to taste|Serve hot. Share and enjoy!",1211,5,24,120,43,0,0,0,163,1700,530,1,0,115,3,50,3,https://panlasangpinoy.com/wp-content/uploads/2022/08/Filipino-Adobo-Pork-Recipe-152x152.jpg,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Pinoy Chicken Curry Recipe,This is a Filipino version of Chicken Curry. It is rich and tasty. Delicious!,10 minutes,,6,2 lbs. chicken cut into serving pieces|1 tablespoon curry powder|1 piece potato cubed|4 cloves garlic minced|2 stalks celery sliced|1 piece red bell pepper sliced|2 pieces long green pepper|1 piece onion chopped|2 thumbs ginger cut into strips|2 cups coconut milk|1/2 cup all-purpose cream optional|1 cup water|fish sauce and ground black pepper to taste,"Heat oil in a pan. Fry potato for 1 minute per side. Remove from the pan. Set aside.|Using the remaining oil, saute garlic, onion, celery, and ginger until onion softens.|Add the chicken pieces. Saute until the outer part of the chicken turns light brown.|Add 1 tablespoon fish sauce. Continue sautéing for 1 minute.|Pour-in coconut milk and water. Let boil.|Add curry powder. Stir until the powder is completely diluted. Cover the pot and continue cooking between low to medium heat until the liquid reduces to half.|Add the red bell pepper and pan fried-potato. Cook for 5 minutes.|Season with fish sauce and ground black pepper as needed. You can also add all-purpose cream if desired.|Transfer to a serving bowl. Serve and enjoy!",497,7,30,39,21,5,10,1,113,131,587,1,2,908,31,53,4,https://panlasangpinoy.com/wp-content/uploads/2021/08/Pinoy-Style-Chicken-Curry-jpg-152x152.webp,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Filipino Style Escabeche,Fried fish in sweet and sour sauce Filipino style,10 minutes,30 minutes,5,2 lbs fish (large) sliced into serving pieces| cup cooking oil|2 tablespoons salt|1  onion thinly sliced|3 cloves garlic chopped|2  thumbs ginger Julienne|1  red bell pepper Julienne|1  green bell pepper Julienne|1  carrot Julienne|3 tablespoons white vinegar|4 tablespoons banana ketchup|3 tablespoons white sugar|1 cup water|1 tablespoon cornstarch|2 tablespoons cooking oil|Salt and ground black pepper to taste,"Rub salt all over the fish slices. Let it stand for 5 minutes.|Heat cooking oil. Fry both sides of the fish until it turns golden brown in color. Remove the fish from the pan and arrange on a serving plate.|Make the escabeche sauce by heating 2 tablespoons of oil in a pan. Sauté garlic and onion until the latter softens.|Add tomato ketchup, vinegar, sugar, and water. Stir and let boil.|Put the bell peppers and carrots into the pan. Cook for 3 minutes.|Season with salt and pepper.|Combine cornstarch with 2 tablespoons of water. Mix well. Pour the mixture into the pan. Stir until the sauce thickens to your desired consistency.|Pour the escabeche sauce over the fried fish. Serve warm.|Share and enjoy!",598,19,38,43,4,12,26,0,91,3008,764,2,13,2934,53,41,1,https://panlasangpinoy.com/wp-content/uploads/2022/08/fish-escabeche-recipe-jpg-152x152.webp,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Chicken Gising-gising,Spicy chicken stew wherein chicken pieces are cooked with winged beans and coconut milk,10 minutes,35 minutes,4,"2 lbs. chicken cut into serving pieces|90 grams Knorr Ginataang Gulay Mix| lb. winged bean sigarilyas, sliced|2  long green chili pepper sliced|5  Thai chili pepper optional|1 tablespoon shrimp paste|3 cups water|1  onion chopped|5 cloves garlic chopped|2 thumbs ginger chopped|3 tablespoons cooking oil","Heat oil in a pan. Sauté garlic, onion, and ginger.|Add chicken pieces. Stir fry until the exterior turns light brown in color.|Add 1 cup water. Let boil.|Combine Knorr Ginataang Gulay Mix with 2 cups water. Mix well and then pour into the pan. Cover and continue cooking between low to medium heat setting for 20 minutes.|Add shrimp paste, long green pepper, and winged beans. Cover the pan and continue cooking for 5 minutes.|Add Thai chili peppers if desired. Cook for 2 minutes more.|Transfer to a serving bowl. Serve hot with rice.|Share and enjoy!",739,21,53,50,15,10,21,0,213,325,880,1,1,363,16,80,4,https://panlasangpinoy.com/wp-content/uploads/2022/07/Chicken-Gising-Gising-jpg-152x152.webp,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Cheeseburger and Hotdog Sandwich Recipe,Cheeseburger with yummy spread and my version of Jolly hotdog sandwich,10 minutes,20 minutes,4,1 lb. ground beef|5  burger buns|5 slices American cheese|1 tablespoons cooking oil|1 teaspoon salt| teaspoon ground black pepper|2 teaspoons onion powder| cup Ladys Choice Mayonnaise|3 tablespoons banana ketchup| teaspoon onion powder|8  beef franks|8  hotdog buns| cup cheese sauce| cup Ladys Choice Mayonnaise| cup bacon bits| cup cheddar cheese shredded|4 cups water,"Make the cheeseburger by combining the ground beef, salt, pepper, and onion powder. Mix well and scoop ¼ cup of the mixture, roll it, and then flatten to form a patty. Do this until all the meat mixture is consumer.|Heat a pan and spray cooking oil. Toast the buns until light brown. Remove from the pan and set aside.|Heat cooking oil on the same pan. Fry the patties until brown.|Top each patty with American cheese.|Spread the mayo mixture on the bun and assemble the cheeseburger.|Start to make the hotdog sandwich by boiling the beef franks for 5 minutes.|Make the cheese sauce mixture by combining cheese sauce and Lady’s Choice Mayonnaise. Mix well.|Arrange the beef franks onto the hotdog bun and generously pour the cheese mixture over it. Top with bacon bits and shredded cheese.|Serve. Share and enjoy!",611,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,https://panlasangpinoy.com/wp-content/uploads/2023/03/cheeseburger-recipe-jpg-152x152.webp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
